中双港35kv,,堡北,,陈家镇35kv,,红星站,,南门站,,新海站,,长江站,,竖河站,,汲浜站,,海门,,长兴,,电动车站,
46.844,-0.3824,22.944,11.472,26.9592,4.5888,20.7452,1.434,63.4784,13.1928,13.0016,2.56208,17.686,3.6328,56.6908,14.6268,25.2384,6.214,449.32,0,0,0,2.616053811,0.450641572
46.746,-0.3816,22.896,11.448,26.9028,4.5792,20.7018,1.431,63.3456,13.1652,12.9744,2.55672,17.649,3.6252,56.5722,14.5962,25.1856,6.201,448.38,0,0,0,2.76742422,0.403195793
46.648,-0.3808,22.848,11.424,26.8464,4.5696,20.6584,1.428,63.2128,13.1376,12.9472,2.55136,17.612,3.6176,56.4536,14.5656,25.1328,6.188,447.44,0,0,0,2.9202435,0.359844604
46.55,-0.38,22.8,11.4,26.79,4.56,20.615,1.425,63.08,13.11,12.92,2.546,17.575,3.61,56.335,14.535,25.08,6.175,446.5,0,0,0,3.073807445,0.320352606
46.403,-0.3788,22.728,11.364,26.7054,4.5456,20.5499,1.4205,62.8808,13.0686,12.8792,2.53796,17.5195,3.5986,56.1571,14.4891,25.0008,6.1555,445.09,0,0,0,3.22736819,0.284482654
46.55,-0.38,22.8,11.4,26.79,4.56,20.615,1.425,63.08,13.11,12.92,2.546,17.575,3.61,56.335,14.535,25.08,6.175,446.5,0,0,0,3.380139576,0.320352606
46.746,-0.3816,22.896,11.448,26.9028,4.5792,20.7018,1.431,63.3456,13.1652,12.9744,2.55672,17.649,3.6252,56.5722,14.5962,25.1856,6.201,448.38,0,0,0,3.531303277,0.359844604
46.893,-0.3828,22.968,11.484,26.9874,4.5936,20.7669,1.4355,63.5448,13.2066,13.0152,2.56476,17.7045,3.6366,56.7501,14.6421,25.2648,6.2205,449.79,0,0,0,3.680015644,0.403195793
47.04,-0.384,23.04,11.52,27.072,4.608,20.832,1.44,63.744,13.248,13.056,2.5728,17.76,3.648,56.928,14.688,25.344,6.24,451.2,0,0,0,3.825415173,0.450641572
47.089,-0.3844,23.064,11.532,27.1002,4.6128,20.8537,1.4415,63.8104,13.2618,13.0696,2.57548,17.7785,3.6518,56.9873,14.7033,25.3704,6.2465,451.67,0,0,0,3.966630538,0.502412895
47.138,-0.3848,23.088,11.544,27.1284,4.6176,20.8754,1.443,63.8768,13.2756,13.0832,2.57816,17.797,3.6556,57.0466,14.7186,25.3968,6.253,452.14,0,0,0,4.102789069,0.558733314
47.187,-0.3852,23.112,11.556,27.1566,4.6224,20.8971,1.4445,63.9432,13.2894,13.0968,2.58084,17.8155,3.6594,57.1059,14.7339,25.4232,6.2595,452.61,0,0,0,4.233025575,0.619815766
47.236,-0.3856,23.136,11.568,27.1848,4.6272,20.9188,1.446,64.0096,13.3032,13.1104,2.58352,17.834,3.6632,57.1652,14.7492,25.4496,6.266,453.08,0,0,0,4.356491376,0.685859147
47.285,-0.386,23.16,11.58,27.213,4.632,20.9405,1.4475,64.076,13.317,13.124,2.5862,17.8525,3.667,57.2245,14.7645,25.476,6.2725,453.55,0,0,0,4.472363442,0.757044686
47.383,-0.3868,23.208,11.604,27.2694,4.6416,20.9839,1.4505,64.2088,13.3446,13.1512,2.59156,17.8895,3.6746,57.3431,14.7951,25.5288,6.2855,454.49,0,0,0,4.579853466,0.833532157
46.942,-0.3832,22.992,11.496,27.0156,4.5984,20.7886,1.437,63.6112,13.2204,13.0288,2.56744,17.723,3.6404,56.8094,14.6574,25.2912,6.227,450.26,0,0,0,4.67821676,0.915455982
47.53,-0.388,23.28,11.64,27.354,4.656,21.049,1.455,64.408,13.386,13.192,2.5996,17.945,3.686,57.521,14.841,25.608,6.305,455.9,0,0,0,4.766760831,1.002921262
47.481,-0.3876,23.256,11.628,27.3258,4.6512,21.0273,1.4535,64.3416,13.3722,13.1784,2.59692,17.9265,3.6822,57.4617,14.8257,25.5816,6.2985,455.43,0,0,0,4.844853479,1.095999797
47.432,-0.3872,23.232,11.616,27.2976,4.6464,21.0056,1.452,64.2752,13.3584,13.1648,2.59424,17.908,3.6784,57.4024,14.8104,25.5552,6.292,454.96,0,0,0,4.911930311,1.194726159
47.432,-0.3872,23.232,11.616,27.2976,4.6464,21.0056,1.452,64.2752,13.3584,13.1648,2.59424,17.908,3.6784,57.4024,14.8104,25.5552,6.292,454.96,0,0,0,4.967501529,1.299093876
47.383,-0.3868,23.208,11.604,27.2694,4.6416,20.9839,1.4505,64.2088,13.3446,13.1512,2.59156,17.8895,3.6746,57.3431,14.7951,25.5288,6.2855,454.49,0,0,0,5.011157885,1.40905181
